_id,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card47,card48,card49,card50,card51,card52,gameId,playerId,handNumber,strategy,bidSelfOrder,bidSelfBid,bidRightBid,bidPartnerBid,bidLeftBid,scoreSelfTeamScore,scoreSelfTeamBags,scoreOtherTeamScore,scoreOtherTeamBags,tricksTaken,scoreChange,bagsChange,finalBags,winner,finalScore
ObjectId(59fe3037f57e7a66c03abd14),1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,0,ddmCXKAHWvI12udELNyCXnQy1puDmw,b0fLTEG4mJ,12,randFromNumberOfSpades,2,7,4,,,-13,1,-7,4,7,17,0,1,0,-52
ObjectId(59fe3037f57e7a66c03abd16),0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,ddmCXKAHWvI12udELNyCXnQy1puDmw,gvKzIuiTbw,12,randFromNumberOfSpades,4,0,5,7,4,-13,1,-7,4,0,17,0,1,0,-52
ObjectId(59fe2789f57e7a65e3a90809),1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K2UpmXEvBlyzaelBVrTUyml7B6kcUW,ej8RH6WO1C,5,randFromNumberOfSpades,2,0,2,,,-9,3,-15,0,0,14,0,7,0,-52
ObjectId(59fe2789f57e7a65e3a9080b),0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,K2UpmXEvBlyzaelBVrTUyml7B6kcUW,V6V8imCwWa,5,randFromNumberOfSpades,4,4,3,Nil,2,-9,3,-15,0,4,14,0,7,0,-52
ObjectId(59fe2980f57e7a65e3a91b11),0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,3egkDmedrV9E2mF68Bufx5aBNuV2q5,4mHsstshS8,5,randFromNumberOfSpades,2,6,1,,,-38,0,-4,5,5,11,0,2,0,-56
ObjectId(59fe2981f57e7a65e3a91b13),0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1,0,0,1,3egkDmedrV9E2mF68Bufx5aBNuV2q5,PNzfCh3eya,5,randFromNumberOfSpades,4,5,1,6,1,-38,0,-4,5,6,11,0,2,0,-56
ObjectId(59fe2a87f57e7a65e3a92169),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,xxtmNe16Tv8grggwWdW3LJ6HZ5kmZ3,ga7sndsBBo,1,randFromNumberOfSpades,2,5,3,,,0,0,0,0,7,11,0,3,1,15
ObjectId(59fe2a88f57e7a65e3a9216b),0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,xxtmNe16Tv8grggwWdW3LJ6HZ5kmZ3,aerHaU5r7x,1,randFromNumberOfSpades,4,6,Nil,5,3,0,0,0,0,4,11,0,3,1,15
ObjectId(59fe4903f57e7a66c03ae9b4),0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,JoJ9rC68DSSvYcGTfA2pBNJUVcy9KK,qa4Lin5XSv,20,randFromNumberOfSpades,2,2,2,,,-23,3,-48,6,2,11,0,3,1,-12
ObjectId(59fe4903f57e7a66c03ae9b6),0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,1,JoJ9rC68DSSvYcGTfA2pBNJUVcy9KK,yz7TDVkCEW,20,randFromNumberOfSpades,4,9,Nil,2,2,-23,3,-48,6,9,11,0,3,1,-12
